index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
1,Add a new intent for deliver 4K ultra HD video streaming to 200 participants in the stadium,add a new intent for deliver 4k ultra hd video streaming to 200 participants in the stadium,IntentSpecification,POST,,/intentspecification,Active,78113,FactoryAutoIntentv1,5.9,5,Broadband services,True,CloudService,1080pHD,10 ms,10 Gbps,99.9%,200,15
2,Abort intent SmartGridService001,abort intent smartgridservice001,IntentSpecification,DELETE,,/intentspecification,Active,20425,SmartGridService001,1.7,4,Smart city,True,EdgeComputing,480p,50 ms,1 Gbps,99.9%,500,15
3,Remove the VoiceService intent,remove the voiceservice intent,Intent,DELETE,ReportingExpectation,/intent,Active,67663,IoTConnectProvisionv2,4.1,4,5G networks,True,VoiceService,Standard,12 ms,100 Mbps,99.999%,200,5
4,Adjust CloudServiceSetupB parameters,adjust cloudservicesetupb parameters,IntentSpecification,PATCH,,/intentspecification,Created,79022,CloudServiceSetupB,4.9,2,IoT networks,False,VoiceService,Basic,5 ms,100 Mbps,99.95%,200,30
5,Probe CloudService service configuration,probe cloudservice service configuration,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,89514,TelehealthDeployment002,3.5,4,IoT networks,False,CloudService,480p,10 ms,500 Mbps,99.999%,200,5
6,Drop intent 35071,drop intent 35071,IntentSpecification,DELETE,,/intentspecification,Active,35071,SmartCityDeploymentB,2.4,2,Broadband services,True,EventWirelessAccess,720p,12 ms,100 Mbps,99.99%,1000,10
7,Change the priority of intent 23764 to 1,change the priority of intent 23764 to 1,IntentSpecification,PATCH,,/intentspecification,Active,23764,BroadbandSetupv1,5.8,1,intent-based networks,False,NetworkSlice,4KUHD,100 ms,500 Mbps,99.95%,5000,5
8,Change SmartCitySetupC priority level to 4,change smartcitysetupc priority level to 4,IntentSpecification,PATCH,,/intentspecification,Active,78316,SmartCitySetupC,2.7,4,Smart city,False,StreamingApplication,4KUHD,5 ms,500 Mbps,99.99%,500,5
9,Delete intent 96484,delete intent 96484,IntentSpecification,DELETE,,/intentspecification,Created,96484,BroadbandProvision001,3.3,4,5G networks,False,EdgeComputing,480p,20 ms,500 Mbps,99.95%,50,5
10,Edit intent 89414 specifications,edit intent 89414 specifications,IntentSpecification,PATCH,,/intentspecification,Active,89414,GamingSetup002,3.5,1,Autonomous services,True,IoTService,1080pHD,100 ms,100 Mbps,99.95%,5000,15
11,Probe reporting status of intent 54574,probe reporting status of intent 54574,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,54574,EdgeComputeIntent001,4.0,1,Enterprise networks,True,CloudService,4KUHD,100 ms,10 Gbps,99.99%,1000,30
12,Find intents related to NetworkSlice,find intents related to networkslice,Intent,GET,DeliveryExpectation,/intent,Active,89391,EdgeComputeDeploymentB,3.3,3,Cloud services,True,NetworkSlice,Standard,50 ms,500 Mbps,99.95%,200,10
13,Generate intent assessment report,generate intent assessment report,IntentReport,GET (IntentReport),,/intentreport,Active,83886,TelehealthProvision002,4.8,5,Edge computing,True,BroadbandService,4KUHD,12 ms,10 Gbps,99.99%,1000,5
14,Generate report for intent 37779,generate report for intent 37779,IntentReport,GET (IntentReport),,/intentreport,Created,37779,MissionCriticalProvision001,5.9,2,Smart city,False,VoiceService,Standard,12 ms,1 Gbps,99.999%,200,30
15,View the SmartGridServicev1 intent,view the smartgridservicev1 intent,IntentSpecification,GET,,/intentspecification,Active,22187,SmartGridServicev1,1.3,2,Cloud services,True,VoiceService,720p,10 ms,1 Gbps,99.95%,5000,30
16,Alter the properties of AutonomousIntentB,alter the properties of autonomousintentb,Intent,PATCH,ReportingExpectation,/intent,Active,96015,AutonomousIntentB,3.3,2,5G networks,False,NetworkSlice,Premium,20 ms,1 Gbps,99.99%,1000,60
17,Modify NetworkSliceProvision001 quality to 1080p HD quality,modify networksliceprovision001 quality to 1080p hd quality,IntentSpecification,PATCH,,/intentspecification,Created,26949,NetworkSliceProvision001,3.9,5,IoT networks,False,VoiceService,Premium,12 ms,10 Gbps,99.999%,1000,5
18,What is the state of FactoryAutoSetupB?,what is the state of factoryautosetupb?,IntentReport,GET,,/intentreport,Created,66371,FactoryAutoSetupB,4.2,2,Cloud services,False,StreamingApplication,4KUHD,5 ms,100 Mbps,99.9%,500,60
19,Take down intent 61855,take down intent 61855,Intent,DELETE,PropertyExpectation,/intent,Active,61855,ConnectedCarServicev2,3.4,1,Enterprise networks,True,IoTService,4KUHD,12 ms,500 Mbps,99.99%,200,10
20,Change IoTConnectSetupv2 priority level to 2,change iotconnectsetupv2 priority level to 2,IntentSpecification,PATCH,,/intentspecification,Created,74849,IoTConnectSetupv2,5.0,2,5G networks,False,CloudService,4KUHD,50 ms,10 Gbps,99.99%,1000,60
21,Generate monitoring report for enable video conferencing with 500 concurrent participants,generate monitoring report for enable video conferencing with 500 concurrent participants,IntentReport,GET (IntentReport),,/intentreport,Active,27527,SmartCitySetup002,5.3,4,Smart city,False,IoTService,Standard,100 ms,100 Mbps,99.99%,100,10
22,Get details of intent 87035,get details of intent 87035,IntentReport,GET,,/intentreport,Active,87035,CloudServiceService001,4.9,1,IoT networks,False,EventWirelessAccess,Premium,50 ms,10 Gbps,99.9%,5000,60
23,Define an intent to deliver deploy connected logistics for supply chain management,define an intent to deliver deploy connected logistics for supply chain management,IntentSpecification,POST,,/intentspecification,Created,32162,NetworkSliceDeploymentv1,5.5,4,Smart city,False,VideoStreaming,1080pHD,50 ms,100 Mbps,99.99%,50,15
24,Place an intent for provide video streaming service for the event venue,place an intent for provide video streaming service for the event venue,IntentSpecification,POST,,/intentspecification,Active,90145,SmartGridSetupB,5.4,2,Enterprise networks,True,EventWirelessAccess,1080pHD,12 ms,1 Gbps,99.999%,100,15
25,Test intent expression for enable high bandwidth connectivity for the convention center,test intent expression for enable high bandwidth connectivity for the convention center,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,54800,MissionCriticalProvisionv2,5.5,2,Video streaming,False,BroadbandService,Standard,12 ms,1 Gbps,99.9%,100,10
26,Show all active intents,show all active intents,ProbeIntent,GET,ReportingExpectation,/intent,Created,69393,CloudServiceIntentv2,2.8,4,IoT networks,True,DataAnalytics,1080pHD,5 ms,100 Mbps,99.9%,50,10
27,Search for intent 21539,search for intent 21539,ProbeIntent,GET,DeliveryExpectation,/intent,Active,21539,EdgeComputeProvision001,5.2,5,Edge computing,False,EventWirelessAccess,Standard,10 ms,100 Mbps,99.999%,50,15
28,Refresh intent 37270 settings,refresh intent 37270 settings,IntentSpecification,PATCH,,/intentspecification,Active,37270,ConnectedCarServicev2,2.0,2,Broadband services,False,DataAnalytics,4KUHD,12 ms,500 Mbps,99.9%,50,5
29,What is the status of intent 20331?,what is the status of intent 20331?,IntentSpecification,GET,,/intentspecification,Active,20331,SmartCitySetupC,3.1,1,Smart city,True,VideoStreaming,720p,20 ms,10 Gbps,99.999%,200,15
30,Get details of intent 27234,get details of intent 27234,Intent,GET,PropertyExpectation,/intent,Created,27234,GamingIntentA,4.1,4,IoT networks,False,EdgeComputing,480p,50 ms,10 Gbps,99.9%,50,5
31,Show information about intent 88679,show information about intent 88679,Intent,GET,ReportingExpectation,/intent,Created,88679,AutonomousIntent001,2.0,4,IoT networks,True,DataAnalytics,Standard,100 ms,1 Gbps,99.99%,500,10
